"country_name","genres","n"
"Argentina","Action",142
"Argentina","Adventure",101
"Argentina","Animation",51
"Argentina","Biography",7
"Argentina","Comedy",170
"Argentina","Crime",133
"Argentina","Documentary",18
"Argentina","Drama",367
"Argentina","Family",17
"Argentina","Fantasy",28
"Argentina","Film-Noir",3
"Argentina","History",2
"Argentina","Horror",34
"Argentina","Music",35
"Argentina","Mystery",64
"Argentina","Romance",108
"Argentina","Sci-Fi",14
"Argentina","Sport",13
"Argentina","Thriller",81
"Argentina","War",3
"Argentina","Western",8
"Australia","Action",198
"Australia","Adult",1
"Australia","Adventure",137
"Australia","Animation",53
"Australia","Biography",14
"Australia","Comedy",193
"Australia","Crime",141
"Australia","Documentary",37
"Australia","Drama",279
"Australia","Family",41
"Australia","Fantasy",52
"Australia","Film-Noir",3
"Australia","Game-Show",11
"Australia","History",5
"Australia","Horror",20
"Australia","Music",1
"Australia","Mystery",64
"Australia","Reality-TV",30
"Australia","Romance",85
"Australia","Sci-Fi",48
"Australia","Sport",14
"Australia","Thriller",69
"Australia","War",7
"Australia","Western",6
"Austria","Action",207
"Austria","Adventure",128
"Austria","Animation",37
"Austria","Biography",13
"Austria","Comedy",185
"Austria","Crime",156
"Austria","Documentary",26
"Austria","Drama",322
"Austria","Family",42
"Austria","Fantasy",60
"Austria","Film-Noir",4
"Austria","Game-Show",9
"Austria","History",5
"Austria","Horror",38
"Austria","Music",4
"Austria","Mystery",62
"Austria","Reality-TV",13
"Austria","Romance",87
"Austria","Sci-Fi",18
"Austria","Sport",17
"Austria","Thriller",71
"Austria","War",4
"Austria","Western",6
"Bahamas","Action",177
"Bahamas","Adventure",104
"Bahamas","Animation",76
"Bahamas","Biography",8
"Bahamas","Comedy",179
"Bahamas","Crime",134
"Bahamas","Documentary",21
"Bahamas","Drama",278
"Bahamas","Family",52
"Bahamas","Fantasy",36
"Bahamas","Film-Noir",2
"Bahamas","Game-Show",10
"Bahamas","Horror",34
"Bahamas","Music",2
"Bahamas","Mystery",50
"Bahamas","Reality-TV",13
"Bahamas","Romance",74
"Bahamas","Sci-Fi",24
"Bahamas","Short",2
"Bahamas","Sport",10
"Bahamas","Thriller",103
"Bahamas","War",4
"Bahamas","Western",6
"Bahrain","Action",217
"Bahrain","Adventure",114
"Bahrain","Animation",35
"Bahrain","Biography",14
"Bahrain","Comedy",156
"Bahrain","Crime",147
"Bahrain","Documentary",18
"Bahrain","Drama",339
"Bahrain","Family",18
"Bahrain","Fantasy",39
"Bahrain","Film-Noir",3
"Bahrain","Game-Show",12
"Bahrain","History",2
"Bahrain","Horror",36
"Bahrain","Music",1
"Bahrain","Musical",1
"Bahrain","Mystery",57
"Bahrain","Reality-TV",17
"Bahrain","Romance",88
"Bahrain","Sci-Fi",23
"Bahrain","Sport",8
"Bahrain","Thriller",80
"Bahrain","War",2
"Bahrain","Western",4
"Bangladesh","Action",243
"Bangladesh","Adventure",91
"Bangladesh","Animation",31
"Bangladesh","Biography",3
"Bangladesh","Comedy",183
"Bangladesh","Crime",180
"Bangladesh","Documentary",10
"Bangladesh","Drama",373
"Bangladesh","Family",14
"Bangladesh","Fantasy",29
"Bangladesh","Film-Noir",3
"Bangladesh","Game-Show",2
"Bangladesh","History",2
"Bangladesh","Horror",29
"Bangladesh","Music",2
"Bangladesh","Musical",5
"Bangladesh","Mystery",101
"Bangladesh","Reality-TV",2
"Bangladesh","Romance",99
"Bangladesh","Sci-Fi",40
"Bangladesh","Sport",1
"Bangladesh","Thriller",77
"Bangladesh","War",2
"Bangladesh","Western",2
"Belgium","Action",214
"Belgium","Adventure",138
"Belgium","Animation",53
"Belgium","Biography",12
"Belgium","Comedy",184
"Belgium","Crime",139
"Belgium","Documentary",23
"Belgium","Drama",315
"Belgium","Family",20
"Belgium","Fantasy",57
"Belgium","Film-Noir",3
"Belgium","Game-Show",9
"Belgium","History",2
"Belgium","Horror",30
"Belgium","Music",10
"Belgium","Mystery",53
"Belgium","Reality-TV",13
"Belgium","Romance",91
"Belgium","Sci-Fi",31
"Belgium","Sport",11
"Belgium","Thriller",63
"Belgium","War",4
"Belgium","Western",4
"Bolivia","Action",163
"Bolivia","Adult",2
"Bolivia","Adventure",136
"Bolivia","Animation",94
"Bolivia","Biography",1
"Bolivia","Comedy",212
"Bolivia","Crime",89
"Bolivia","Documentary",17
"Bolivia","Drama",275
"Bolivia","Family",14
"Bolivia","Fantasy",29
"Bolivia","Film-Noir",2
"Bolivia","Horror",29
"Bolivia","Music",19
"Bolivia","Mystery",47
"Bolivia","Reality-TV",3
"Bolivia","Romance",112
"Bolivia","Sci-Fi",24
"Bolivia","Sport",5
"Bolivia","Thriller",53
"Bolivia","War",2
"Bolivia","Western",6
"Brazil","Action",164
"Brazil","Adult",1
"Brazil","Adventure",183
"Brazil","Animation",69
"Brazil","Biography",6
"Brazil","Comedy",218
"Brazil","Crime",118
"Brazil","Documentary",19
"Brazil","Drama",322
"Brazil","Family",101
"Brazil","Fantasy",30
"Brazil","Film-Noir",3
"Brazil","Game-Show",4
"Brazil","Horror",31
"Brazil","Music",15
"Brazil","Musical",22
"Brazil","Mystery",54
"Brazil","Reality-TV",11
"Brazil","Romance",122
"Brazil","Sci-Fi",23
"Brazil","Sport",6
"Brazil","Thriller",69
"Brazil","War",2
"Brazil","Western",5
"Bulgaria","Action",228
"Bulgaria","Adventure",132
"Bulgaria","Animation",52
"Bulgaria","Biography",10
"Bulgaria","Comedy",182
"Bulgaria","Crime",131
"Bulgaria","Documentary",30
"Bulgaria","Drama",309
"Bulgaria","Family",23
"Bulgaria","Fantasy",39
"Bulgaria","Film-Noir",4
"Bulgaria","Game-Show",14
"Bulgaria","History",2
"Bulgaria","Horror",28
"Bulgaria","Music",4
"Bulgaria","Mystery",48
"Bulgaria","Reality-TV",18
"Bulgaria","Romance",101
"Bulgaria","Sci-Fi",39
"Bulgaria","Sport",11
"Bulgaria","Thriller",59
"Bulgaria","War",3
"Bulgaria","Western",6
"Canada","Action",178
"Canada","Adventure",109
"Canada","Animation",52
"Canada","Biography",20
"Canada","Comedy",178
"Canada","Crime",146
"Canada","Documentary",30
"Canada","Drama",267
"Canada","Family",20
"Canada","Fantasy",35
"Canada","Film-Noir",3
"Canada","Game-Show",20
"Canada","History",4
"Canada","Horror",33
"Canada","Music",2
"Canada","Musical",1
"Canada","Mystery",73
"Canada","Reality-TV",37
"Canada","Romance",85
"Canada","Sci-Fi",39
"Canada","Sport",8
"Canada","Thriller",84
"Canada","War",5
"Canada","Western",5
"Chile","Action",139
"Chile","Adventure",119
"Chile","Animation",70
"Chile","Biography",4
"Chile","Comedy",194
"Chile","Crime",106
"Chile","Documentary",15
"Chile","Drama",336
"Chile","Family",18
"Chile","Fantasy",25
"Chile","Film-Noir",3
"Chile","History",2
"Chile","Horror",30
"Chile","Music",35
"Chile","Mystery",49
"Chile","Reality-TV",2
"Chile","Romance",129
"Chile","Sci-Fi",19
"Chile","Sport",8
"Chile","Thriller",61
"Chile","War",3
"Chile","Western",7
"Colombia","Action",150
"Colombia","Adventure",106
"Colombia","Animation",57
"Colombia","Biography",3
"Colombia","Comedy",184
"Colombia","Crime",116
"Colombia","Documentary",35
"Colombia","Drama",291
"Colombia","Family",16
"Colombia","Fantasy",28
"Colombia","Film-Noir",2
"Colombia","Horror",30
"Colombia","Music",16
"Colombia","Musical",4
"Colombia","Mystery",49
"Colombia","Reality-TV",3
"Colombia","Romance",118
"Colombia","Sci-Fi",18
"Colombia","Sport",8
"Colombia","Thriller",74
"Colombia","War",2
"Colombia","Western",6
"Costa Rica","Action",127
"Costa Rica","Adventure",95
"Costa Rica","Animation",57
"Costa Rica","Biography",5
"Costa Rica","Comedy",197
"Costa Rica","Crime",100
"Costa Rica","Documentary",20
"Costa Rica","Drama",326
"Costa Rica","Family",20
"Costa Rica","Fantasy",27
"Costa Rica","Film-Noir",3
"Costa Rica","Game-Show",1
"Costa Rica","Horror",31
"Costa Rica","Music",32
"Costa Rica","Mystery",47
"Costa Rica","Reality-TV",4
"Costa Rica","Romance",138
"Costa Rica","Sci-Fi",18
"Costa Rica","Sport",11
"Costa Rica","Thriller",70
"Costa Rica","War",2
"Costa Rica","Western",6
"Croatia","Action",187
"Croatia","Adventure",114
"Croatia","Animation",50
"Croatia","Biography",8
"Croatia","Comedy",202
"Croatia","Crime",147
"Croatia","Documentary",28
"Croatia","Drama",307
"Croatia","Family",22
"Croatia","Fantasy",28
"Croatia","Film-Noir",5
"Croatia","Game-Show",15
"Croatia","History",5
"Croatia","Horror",23
"Croatia","Music",5
"Croatia","Mystery",51
"Croatia","Reality-TV",19
"Croatia","Romance",100
"Croatia","Sci-Fi",17
"Croatia","Sport",14
"Croatia","Thriller",64
"Croatia","War",4
"Croatia","Western",6
"Cyprus","Action",215
"Cyprus","Adventure",134
"Cyprus","Animation",46
"Cyprus","Biography",7
"Cyprus","Comedy",186
"Cyprus","Crime",140
"Cyprus","Documentary",22
"Cyprus","Drama",339
"Cyprus","Family",27
"Cyprus","Fantasy",28
"Cyprus","Film-Noir",3
"Cyprus","Game-Show",11
"Cyprus","History",2
"Cyprus","Horror",21
"Cyprus","Music",2
"Cyprus","Mystery",52
"Cyprus","Reality-TV",15
"Cyprus","Romance",92
"Cyprus","Sci-Fi",48
"Cyprus","Sport",10
"Cyprus","Thriller",57
"Cyprus","War",4
"Cyprus","Western",3
"Czech Republic","Action",207
"Czech Republic","Adult",5
"Czech Republic","Adventure",151
"Czech Republic","Animation",82
"Czech Republic","Biography",13
"Czech Republic","Comedy",185
"Czech Republic","Crime",140
"Czech Republic","Documentary",30
"Czech Republic","Drama",294
"Czech Republic","Family",23
"Czech Republic","Fantasy",49
"Czech Republic","Film-Noir",3
"Czech Republic","Game-Show",19
"Czech Republic","History",3
"Czech Republic","Horror",31
"Czech Republic","Music",4
"Czech Republic","Mystery",55
"Czech Republic","Reality-TV",23
"Czech Republic","Romance",82
